,coef,p_value,conf_low,conf_high
C(cuisine_description)[T.Sandwiches],-3.715864188206995,5.528817658406902e-05,-5.522108483910156,-1.9096198925038346
C(cuisine_description)[T.Sandwiches/Salads/Mixed Buffet],-3.566212342751352,0.00013164227750776973,-5.394339215860477,-1.7380854696422277
C(cuisine_description)[T.Seafood],0.42371759023577277,0.6509418418457109,-1.4117683188017203,2.2592034992732657
C(cuisine_description)[T.Soul Food],2.884244700295987,0.003287126296911697,0.9611475864981889,4.8073418140937845
C(cuisine_description)[T.Soups & Sandwiches],-4.323776753637763,4.359901875594339e-05,-6.397002908758251,-2.2505505985172753
C(cuisine_description)[T.Southwestern],0.6245650813196216,0.6606464539922301,-2.1637492579841657,3.412879420623409
C(cuisine_description)[T.Spanish],1.5645355613341116,0.08535024675840049,-0.2178068186075195,3.346877941275743
C(cuisine_description)[T.Steak],-1.854612502972531,0.05659942069230125,-3.761342607594083,0.052117601649020795
C(cuisine_description)[T.Tapas],-1.959899166729316,0.06847729474384685,-4.068375060588539,0.148576727129907
C(cuisine_description)[T.Tex-Mex],-1.3254681939538397,0.15855629733688942,-3.1680049270694353,0.517068539161756
C(cuisine_description)[T.Thai],0.11124950316937922,0.9035745509457616,-1.688592478514948,1.9110914848537064
C(cuisine_description)[T.Turkish],1.112957839877331,0.25419345282905775,-0.8001426453583178,3.02605832511298
C(cuisine_description)[T.Vegetarian],0.544990421787097,0.5704417878335779,-1.337565557189083,2.4275464007632768
C(cuisine_description)[T.Vietnamese/Cambodian/Malaysia],1.6636630879091927,0.08229533711490415,-0.21298901473491694,3.5403151905533026
C(boro)[T.BROOKLYN],1.0331467363807771,6.150603850344294e-35,0.8689512702331416,1.1973422025284126
C(boro)[T.MANHATTAN],1.3780715962463335,9.494175962178757e-65,1.219141516848294,1.537001675644373
C(boro)[T.QUEENS],0.21871777966341982,0.00952803028383664,0.053364789873609236,0.3840707694532304
C(boro)[T.STATEN ISLAND],1.846491634187524,5.432372724985413e-42,1.57997892570905,2.113004342665998
year,0.29072151738050955,2.276969448306792e-49,0.25214934663198213,0.329293688129037
